单价（元/平方米）,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积（平方米）,户型结构,建筑类型,房屋朝向,建筑结构,装修情况,配备电梯,挂牌时间,交易权属,房屋用途
13000.0,成华,动物园,2室1厅1厨1卫,中楼层 (共31层),62.45,平层,塔楼,北,钢混结构,其他,有,2021-12-06,商品房,普通住宅
11500.0,成华,八里小区,3室2厅1厨1卫,中楼层 (共7层),91,平层,板楼,南 北,钢混结构,简装,无,2021-11-29,商品房,普通住宅
10200.0,成华,驷马桥,3室2厅1厨1卫,中楼层 (共6层),92.52,平层,板楼,南,钢混结构,简装,无,2020-09-06,商品房,普通住宅
14300.0,成华,动物园,3室1厅1厨1卫,低楼层 (共18层),87.99,平层,板塔结合,东南,钢混结构,精装,有,2021-09-18,商品房,普通住宅
7980.0,成华,驷马桥,2室1厅1厨1卫,中楼层 (共11层),54.84,平层,塔楼,东南,钢混结构,简装,有,2021-12-10,经济适用房,普通住宅
10980.0,成华,动物园,3室1厅1厨1卫,中楼层 (共27层),65.61,平层,塔楼,东南,框架结构,简装,有,2021-03-18,商品房,普通住宅
10180.0,成华,万年场,2室1厅1厨1卫,高楼层 (共33层),75.04,平层,塔楼,东南,钢混结构,毛坯,有,2021-10-30,经济适用房,普通住宅
17500.0,成华,万年场,4室2厅1厨2卫,低楼层 (共34层),140.32,平层,板塔结合,西北,钢混结构,简装,有,2021-08-26,经济适用房,普通住宅
9200.0,成华,万年场,2室2厅1厨1卫,高楼层 (共18层),72.84,平层,塔楼,东,框架结构,简装,有,2021-09-01,经济适用房,普通住宅
6400.0,成华,猛追湾,2室1厅1厨1卫,低楼层 (共7层),58,平层,板楼,南,砖混结构,简装,无,2021-07-08,商品房,普通住宅
10500.0,成华,万年场,2室1厅1厨1卫,中楼层 (共26层),80.71,平层,塔楼,东南,钢混结构,简装,有,2021-12-05,经济适用房,普通住宅
17000.0,成华,东郊记忆,3室1厅1厨2卫,高楼层 (共33层),90.76,平层,板塔结合,西 西北,钢混结构,精装,有,2021-08-08,商品房,普通住宅
4350.0,成华,驷马桥,1室1厅1厨1卫,中楼层 (共7层),43.42,平层,平房,西,框架结构,毛坯,无,2021-12-10,拆迁安置房,普通住宅
15390.0,成华,新华公园,3室1厅1厨1卫,高楼层 (共31层),74.76,平层,板楼,东,框架结构,简装,有,2020-03-30,商品房,普通住宅
7080.0,成华,龙潭寺,2室1厅1厨1卫,中楼层 (共33层),59.6,平层,塔楼,东,钢混结构,毛坯,有,2021-09-29,已购公房,普通住宅
20500.0,成华,龙潭寺,3室2厅1厨2卫,中楼层 (共11层),104.86,平层,板塔结合,南 北,钢混结构,精装,有,2021-07-12,商品房,普通住宅
11800.0,成华,动物园,3室2厅1厨1卫,低楼层 (共28层),72.71,平层,塔楼,西北,钢混结构,简装,有,2021-08-24,商品房,普通住宅
7200.0,成华,新华公园,3室1厅1厨1卫,中楼层 (共6层),67,平层,板楼,南 北,砖混结构,简装,无,2020-06-13,商品房,普通住宅
12200.0,成华,万年场,2室1厅1厨1卫,中楼层 (共14层),74.4,平层,塔楼,东,框架结构,精装,有,2021-08-24,商品房,普通住宅
37500.0,成华,万象城,3室2厅1厨2卫,高楼层 (共29层),144.76,平层,板楼,南,钢混结构,精装,有,2021-11-15,商品房,普通住宅
14500.0,成华,万年场,3室1厅1厨1卫,低楼层 (共16层),96.67,平层,板塔结合,东南,钢混结构,简装,有,2020-12-10,商品房,普通住宅
14900.0,成华,八里小区,3室2厅1厨2卫,低楼层 (共6层),119.48,错层,板楼,东南,混合结构,简装,无,2021-09-01,商品房,普通住宅
14300.0,成华,龙潭寺,3室2厅1厨1卫,中楼层 (共28层),85.29,平层,板塔结合,西,钢混结构,精装,有,2021-10-01,商品房,普通住宅
20300.0,成华,新华公园,3室1厅1厨1卫,中楼层 (共24层),85.58,平层,塔楼,东南,砖混结构,简装,有,2021-12-07,商品房,普通住宅
19900.0,成华,新华公园,3室2厅1厨1卫,中楼层 (共24层),85.58,平层,塔楼,南,砖混结构,简装,有,2021-07-13,商品房,普通住宅
13400.0,成华,理工大,3室1厅1厨1卫,低楼层 (共32层),76.47,平层,塔楼,西南,框架结构,精装,有,2021-10-24,商品房,普通住宅
13600.0,成华,八里小区,4室2厅1厨2卫,高楼层 (共7层),153.28,错层,板楼,西南,混合结构,简装,无,2020-05-25,商品房,普通住宅
